year,data
1973,6.2
1974,1.3
1975,5.5
1976,2.4
1977,3
1978,8.1
1979,3.6
1980,0.5
1981,4.8
1982,2.1
1983,5.7
1984,5.6
1985,4.9
1986,1.9
1987,1.8
1988,2.7
1989,2.2
1990,6.5
1991,3.6
1992,4.9
1993,0.2
1994,16.8
1995,8.6
1996,5.8
1997,5.3
1998,5.8
1999,2.3
2000,4.2
2001,6
2002,3.3
2003,1.5
2004,4.3
2005,4.8
2006,5.1
2007,6.1
2008,6.1
2009,2.5
2010,11.5
2011,5.6
2012,9.1
2013,14
2014,3
2015,4.2
2016,10
2017,10.1
2018,16.6
2019,10.2
2020,7.4
2021,5.5
2022,13.2
