year,data
1973,5.3
1974,1.1
1975,3.8
1976,1.8
1977,2.7
1978,6.9
1979,3.4
1980,0
1981,4.5
1982,2.1
1983,5.5
1984,5.2
1985,3.6
1986,1
1987,1.4
1988,1.3
1989,1.5
1990,4.7
1991,2.4
1992,4.7
1993,0.5
1994,13.7
1995,8.5
1996,4.1
1997,3.5
1998,3.5
1999,1.4
2000,4.1
2001,5.5
2002,3.4
2003,1
2004,3.6
2005,6.3
2006,4.4
2007,4.6
2008,5.5
2009,0.8
2010,10
2011,4.6
2012,7.5
2013,12
2014,3.5
2015,3.6
2016,5.8
2017,7.2
2018,13.5
2019,9.6
2020,4.7
2021,3.1
2022,9.8
