year,data
1973,3
1974,1.2
1975,1.6
1976,0.2
1977,0.6
1978,1.2
1979,1
1980,0
1981,2.4
1982,0.6
1983,5
1984,1.2
1985,1.8
1986,0
1987,0.6
1988,0.4
1989,0.2
1990,1.2
1991,0.8
1992,3.4
1993,0
1994,7.6
1995,3.2
1996,3.2
1997,3
1998,3
1999,1.8
2000,1.6
2001,1.6
2002,1
2003,0
2004,1.6
2005,1.6
2006,1.2
2007,2.8
2008,2.6
2009,0.8
2010,7.2
2011,2.2
2012,3.8
2013,7.6
2014,1.4
2015,1.8
2016,6
2017,5.4
2018,12.2
2019,6.6
2020,4.6
2021,3.8
2022,8
