year,data
1973,3.9
1974,0.6
1975,6
1976,2.7
1977,3
1978,8.9
1979,2.6
1980,1.4
1981,3.7
1982,2.4
1983,6.1
1984,4.6
1985,2.7
1986,1.9
1987,1.6
1988,4.7
1989,2
1990,6.6
1991,5.4
1992,4.6
1993,0.1
1994,15.3
1995,8
1996,5.4
1997,4.4
1998,7.3
1999,2.1
2000,2
2001,6.6
2002,4.3
2003,1.6
2004,3.9
2005,4.4
2006,7
2007,5.9
2008,4.7
2009,3
2010,11.1
2011,6.1
2012,8.3
2013,14.9
2014,2.7
2015,3
2016,8.1
2017,10.3
2018,14
2019,9.6
2020,7.7
2021,2.1
2022,13.9
