year,data
1973,12.3
1974,5.5
1975,19
1976,8.8
1977,10
1978,20.3
1979,10.3
1980,4.8
1981,19
1982,7.5
1983,15.5
1984,19.8
1985,17
1986,7.8
1987,8.3
1988,16.5
1989,14.8
1990,35.8
1991,15.3
1992,20.8
1993,3.3
1994,33.5
1995,32
1996,23.8
1997,20
1998,31
1999,8.3
2000,28.3
2001,24.5
2002,7.8
2003,22
2004,31.8
2005,27.8
2006,23.5
2007,26.8
2008,23
2009,13.8
2010,41.8
2011,25.3
2012,32.5
2013,44.5
2014,7.5
2015,12.5
2016,36.5
2017,41.5
2018,37.8
2019,24.8
2020,31.5
2021,36
2022,42.5
