year,data
1973,4.6
1974,1.2
1975,2.7
1976,1.3
1977,3
1978,3.85
1979,2.15
1980,0.15
1981,1.9
1982,1.15
1983,3.7
1984,2.75
1985,2.45
1986,0.75
1987,0.4
1988,0.15
1989,0.85
1990,1.1
1991,1.35
1992,3.95
1993,0
1994,8
1995,5
1996,1.85
1997,3.35
1998,1.3
1999,1.95
2000,3.15
2001,1.45
2002,2.35
2003,0.25
2004,2.85
2005,4.6
2006,2.65
2007,3.35
2008,3.95
2009,1.05
2010,7.65
2011,1.95
2012,3.6
2013,7.6
2014,2.5
2015,4.25
2016,5.5
2017,4.85
2018,10.65
2019,7.2
2020,4.2
2021,3.35
2022,7.9
