year,data
1973,12.7
1974,2.6
1975,14.3
1976,5.6
1977,6.3
1978,17.3
1979,7.1
1980,1.3
1981,10.3
1982,3.6
1983,9
1984,13.7
1985,9
1986,4
1987,3.4
1988,6.6
1989,6.3
1990,13.3
1991,7.9
1992,7.9
1993,0.1
1994,24.9
1995,13.6
1996,11.4
1997,8.6
1998,14.7
1999,3.6
2000,5.3
2001,8.1
2002,3.7
2003,2.7
2004,7.3
2005,8.3
2006,10.7
2007,10.7
2008,12.4
2009,6
2010,19.3
2011,12.9
2012,17.7
2013,23.7
2014,3.6
2015,5.9
2016,15.4
2017,18.4
2018,25.7
2019,14.9
2020,16.9
2021,11.3
2022,22.6
