year,data
1973,4.7
1974,0.7
1975,3.7
1976,0.5
1977,2.5
1978,7
1979,2.3
1980,0
1981,3.7
1982,1.3
1983,4
1984,4.2
1985,3.8
1986,0.5
1987,0
1988,2.3
1989,1.8
1990,1.8
1991,0.7
1992,1
1993,0
1994,22.5
1995,8.2
1996,6.5
1997,8.8
1998,1.3
1999,3.3
2000,5.7
2001,4.2
2002,2.7
2003,0.3
2004,3.8
2005,4.2
2006,3.5
2007,5.8
2008,4.2
2009,2
2010,10.2
2011,2.2
2012,11.7
2013,12.2
2014,2.3
2015,5.7
2016,18.3
2017,10.8
2018,21
2019,10.7
2020,5.7
2021,9.8
2022,14.3
