year,data
1973,9.5
1974,1.6
1975,7.2
1976,3.1
1977,3.4
1978,11.5
1979,5.8
1980,0.8
1981,7.6
1982,3.4
1983,7.1
1984,9
1985,11.4
1986,4.7
1987,4.1
1988,3.5
1989,3.5
1990,14.9
1991,5.8
1992,7.2
1993,0.3
1994,22.7
1995,11.8
1996,8.1
1997,5.2
1998,9.5
1999,2.7
2000,6.8
2001,11.1
2002,4.3
2003,3.5
2004,6.7
2005,4.1
2006,7.3
2007,10.4
2008,10
2009,4.3
2010,14.6
2011,8.6
2012,11.5
2013,18.3
2014,4.5
2015,5.5
2016,13.8
2017,14.2
2018,19.5
2019,12.3
2020,8.6
2021,7.5
2022,16.7
